date,calsim_node,value,location,units,calsim_run
1922-01-31,C407,6878.005564803792,Delta Outflow,cfs,2008 & 2009 BiOp
1922-02-28,C407,28324.64853653711,Delta Outflow,cfs,2008 & 2009 BiOp
1922-03-31,C407,12083.562800455476,Delta Outflow,cfs,2008 & 2009 BiOp
1922-04-30,C407,25351.66037219426,Delta Outflow,cfs,2008 & 2009 BiOp
1922-05-31,C407,51449.068918229954,Delta Outflow,cfs,2008 & 2009 BiOp
1922-06-30,C407,23117.2330314071,Delta Outflow,cfs,2008 & 2009 BiOp
1922-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1922-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1922-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1922-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1922-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1922-12-31,C407,24440.76880255931,Delta Outflow,cfs,2008 & 2009 BiOp
1923-01-31,C407,22451.80289433173,Delta Outflow,cfs,2008 & 2009 BiOp
1923-02-28,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1923-03-31,C407,1414.53684879532,Delta Outflow,cfs,2008 & 2009 BiOp
1923-04-30,C407,25183.950084800585,Delta Outflow,cfs,2008 & 2009 BiOp
1923-05-31,C407,10114.093747889234,Delta Outflow,cfs,2008 & 2009 BiOp
1923-06-30,C407,162.14176585877703,Delta Outflow,cfs,2008 & 2009 BiOp
1923-07-31,C407,668.4701624309291,Delta Outflow,cfs,2008 & 2009 BiOp
1923-08-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1923-09-30,C407,1318.7237187213705,Delta Outflow,cfs,2008 & 2009 BiOp
1923-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1923-11-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1923-12-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-01-31,C407,3307.5963562427078,Delta Outflow,cfs,2008 & 2009 BiOp
1924-02-29,C407,6905.072091952301,Delta Outflow,cfs,2008 & 2009 BiOp
1924-03-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-04-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-05-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-08-31,C407,1372.816165751301,Delta Outflow,cfs,2008 & 2009 BiOp
1924-09-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-10-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1924-11-30,C407,1285.8820295721525,Delta Outflow,cfs,2008 & 2009 BiOp
1924-12-31,C407,3851.4466815011965,Delta Outflow,cfs,2008 & 2009 BiOp
1925-01-31,C407,1378.3856433749588,Delta Outflow,cfs,2008 & 2009 BiOp
1925-02-28,C407,62820.88178211916,Delta Outflow,cfs,2008 & 2009 BiOp
1925-03-31,C407,864.9361707857006,Delta Outflow,cfs,2008 & 2009 BiOp
1925-04-30,C407,23980.139078817952,Delta Outflow,cfs,2008 & 2009 BiOp
1925-05-31,C407,7465.03150981131,Delta Outflow,cfs,2008 & 2009 BiOp
1925-06-30,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
1925-07-31,C407,0,Delta Outflow,cfs,2008 & 2009 BiOp
