date,calsim_node,value,location,units,calsim_run
1922-01-31,C400,14493.779415375253,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-02-28,C400,28590.31914563711,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-03-31,C400,23144.555563109778,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-04-30,C400,24659.17207743021,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-05-31,C400,53097.593997283686,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-06-30,C400,33096.18728367774,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-07-31,C400,17979.162384599065,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-08-31,C400,17424.99426788075,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-09-30,C400,21366.028423838547,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-10-31,C400,12798.153512038012,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-11-30,C400,14101.654687006574,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1922-12-31,C400,28077.59791007238,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-01-31,C400,24536.221337572093,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-02-28,C400,18521.800770261983,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-03-31,C400,10953.639308430153,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-04-30,C400,23213.59844401263,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-05-31,C400,17555.590846318617,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-06-30,C400,11470.093927166137,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-07-31,C400,19276.89189107861,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-08-31,C400,14440.415542812714,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-09-30,C400,11873.84808417494,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-10-31,C400,9078.893973901326,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-11-30,C400,9409.91702021854,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1923-12-31,C400,9878.235527400044,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-01-31,C400,11993.253736227558,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-02-29,C400,17565.7556691886,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-03-31,C400,10475.896202375314,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-04-30,C400,8109.254219286125,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-05-31,C400,7485.414827410796,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-06-30,C400,8051.02194832,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-07-31,C400,8135.027483004342,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-08-31,C400,7667.414028241327,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-09-30,C400,5552.798648837226,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-10-31,C400,6881.574849600597,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-11-30,C400,7027.319806651502,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1924-12-31,C400,12622.032553392797,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-01-31,C400,11606.821712744431,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-02-28,C400,49045.882991032195,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-03-31,C400,17048.036934805044,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-04-30,C400,24318.209009224876,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-05-31,C400,15084.77302896887,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-06-30,C400,10398.34062058135,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-07-31,C400,16039.923878887024,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-08-31,C400,8616.04339081764,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-09-30,C400,9717.426404483103,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-10-31,C400,8125.533534595329,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-11-30,C400,8815.883636054416,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1925-12-31,C400,9558.671304848334,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-01-31,C400,17182.188408759874,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-02-28,C400,37689.16573304523,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-03-31,C400,15886.890298556435,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-04-30,C400,20303.617516675575,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-05-31,C400,14117.07427965092,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-06-30,C400,10716.941910737856,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-07-31,C400,16919.963133170135,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-08-31,C400,7425.601579251507,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-09-30,C400,8533.441063704107,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-10-31,C400,6795.442302875591,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-11-30,C400,20251.399109187765,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1926-12-31,C400,22707.226834978057,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-01-31,C400,31304.983674936946,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-02-28,C400,74710.7612959073,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-03-31,C400,40128.5222178895,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-04-30,C400,45651.227386692735,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-05-31,C400,25889.315016785928,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-06-30,C400,17895.839058717556,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-07-31,C400,21653.17581055311,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-08-31,C400,16650.104381824494,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-09-30,C400,20776.44769194719,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-10-31,C400,12196.10451664171,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-11-30,C400,14928.491012424032,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1927-12-31,C400,14923.384509182797,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1928-01-31,C400,21526.157883060958,Freeport Flows,cfs,2019 BiOp & 2020 ITP
1928-02-29,C400,23852.7196925777,Freeport Flows,cfs,2019 BiOp & 2020 ITP
