water_year,water_year_type,region,month,stat,value
1995,Wet,Sacramento River,3,prop_above_threshold,0
1995,Wet,Sacramento River,4,prop_above_threshold,0
1995,Wet,Yolo Bypass,3,prop_above_threshold,0
1996,Wet,Sacramento River,3,prop_above_threshold,0
1996,Wet,Sacramento River,4,prop_above_threshold,0
1996,Wet,Yolo Bypass,4,prop_above_threshold,0
1997,Wet,Sacramento River,3,prop_above_threshold,0
1997,Wet,Sacramento River,4,prop_above_threshold,0.4
1997,Wet,Yolo Bypass,3,prop_above_threshold,0
1997,Wet,Yolo Bypass,4,prop_above_threshold,1
1998,Wet,Sacramento River,3,prop_above_threshold,0
1998,Wet,Sacramento River,4,prop_above_threshold,0
1999,Wet,Sacramento River,3,prop_above_threshold,0
1999,Wet,Sacramento River,4,prop_above_threshold,0
1999,Wet,Yolo Bypass,3,prop_above_threshold,0
1999,Wet,Yolo Bypass,4,prop_above_threshold,0
2000,Above Normal,Sacramento River,3,prop_above_threshold,0
2000,Above Normal,Sacramento River,4,prop_above_threshold,0
2000,Above Normal,Yolo Bypass,3,prop_above_threshold,0
2000,Above Normal,Yolo Bypass,4,prop_above_threshold,0
2001,Dry,Sacramento River,3,prop_above_threshold,0.4
2001,Dry,Sacramento River,4,prop_above_threshold,0.125
2001,Dry,Yolo Bypass,3,prop_above_threshold,0.5
2002,Dry,Sacramento River,3,prop_above_threshold,0.2727272727272727
2002,Dry,Sacramento River,4,prop_above_threshold,0.5
2002,Dry,Yolo Bypass,3,prop_above_threshold,0
2002,Dry,Yolo Bypass,4,prop_above_threshold,0
2003,Above Normal,Sacramento River,3,prop_above_threshold,0.1
2003,Above Normal,Sacramento River,4,prop_above_threshold,0
2003,Above Normal,Yolo Bypass,3,prop_above_threshold,0
2003,Above Normal,Yolo Bypass,4,prop_above_threshold,0
2004,Below Normal,Sacramento River,3,prop_above_threshold,0.1111111111111111
2004,Below Normal,Sacramento River,4,prop_above_threshold,0.3333333333333333
2004,Below Normal,Yolo Bypass,3,prop_above_threshold,0
2004,Below Normal,Yolo Bypass,4,prop_above_threshold,0.3333333333333333
2005,Above Normal,Sacramento River,3,prop_above_threshold,0.3
2005,Above Normal,Sacramento River,4,prop_above_threshold,0
2005,Above Normal,Yolo Bypass,3,prop_above_threshold,0
2005,Above Normal,Yolo Bypass,4,prop_above_threshold,0
2006,Wet,Sacramento River,3,prop_above_threshold,0
2006,Wet,Sacramento River,4,prop_above_threshold,0
2006,Wet,Yolo Bypass,3,prop_above_threshold,0
2006,Wet,Yolo Bypass,4,prop_above_threshold,0
2007,Dry,Sacramento River,3,prop_above_threshold,0.45454545454545453
2007,Dry,Sacramento River,4,prop_above_threshold,0.2727272727272727
2007,Dry,Yolo Bypass,3,prop_above_threshold,0.5
2007,Dry,Yolo Bypass,4,prop_above_threshold,0.5
2008,Critical,Sacramento River,3,prop_above_threshold,0
2008,Critical,Sacramento River,4,prop_above_threshold,0.07142857142857142
2008,Critical,Yolo Bypass,3,prop_above_threshold,0
2008,Critical,Yolo Bypass,4,prop_above_threshold,0.2
2009,Dry,Sacramento River,3,prop_above_threshold,0
2009,Dry,Sacramento River,4,prop_above_threshold,0.09090909090909091
2009,Dry,Yolo Bypass,3,prop_above_threshold,0
2009,Dry,Yolo Bypass,4,prop_above_threshold,0.5
2010,Below Normal,Sacramento River,3,prop_above_threshold,0.1
2010,Below Normal,Sacramento River,4,prop_above_threshold,0
2010,Below Normal,Yolo Bypass,3,prop_above_threshold,0.5
2010,Below Normal,Yolo Bypass,4,prop_above_threshold,0.25
2011,Wet,Sacramento River,3,prop_above_threshold,0
2011,Wet,Sacramento River,4,prop_above_threshold,0
2011,Wet,Yolo Bypass,3,prop_above_threshold,0.3333333333333333
2011,Wet,Yolo Bypass,4,prop_above_threshold,0
2012,Below Normal,Sacramento River,3,prop_above_threshold,0
2012,Below Normal,Sacramento River,4,prop_above_threshold,0.2857142857142857
2012,Below Normal,Yolo Bypass,3,prop_above_threshold,0
2012,Below Normal,Yolo Bypass,4,prop_above_threshold,0.3333333333333333
2013,Dry,Sacramento River,3,prop_above_threshold,0.1
2013,Dry,Sacramento River,4,prop_above_threshold,0.45454545454545453
2013,Dry,Yolo Bypass,3,prop_above_threshold,0.2
2013,Dry,Yolo Bypass,4,prop_above_threshold,0.3333333333333333
2014,Critical,Sacramento River,3,prop_above_threshold,0.2222222222222222
2014,Critical,Sacramento River,4,prop_above_threshold,0.7
2014,Critical,Yolo Bypass,3,prop_above_threshold,0.25
2014,Critical,Yolo Bypass,4,prop_above_threshold,0.75
2015,Critical,Sacramento River,3,prop_above_threshold,0.6363636363636364
2015,Critical,Sacramento River,4,prop_above_threshold,0.6923076923076923
2015,Critical,Yolo Bypass,3,prop_above_threshold,1
2015,Critical,Yolo Bypass,4,prop_above_threshold,0.75
2016,Below Normal,Sacramento River,3,prop_above_threshold,0
2016,Below Normal,Sacramento River,4,prop_above_threshold,0.2222222222222222
2016,Below Normal,Yolo Bypass,3,prop_above_threshold,0.5
2016,Below Normal,Yolo Bypass,4,prop_above_threshold,1
2017,Wet,Sacramento River,3,prop_above_threshold,0
2017,Wet,Sacramento River,4,prop_above_threshold,0
2017,Wet,Yolo Bypass,3,prop_above_threshold,0.6
2017,Wet,Yolo Bypass,4,prop_above_threshold,0.6666666666666666
2018,Below Normal,Sacramento River,3,prop_above_threshold,0
2018,Below Normal,Sacramento River,4,prop_above_threshold,0.2222222222222222
2018,Below Normal,Yolo Bypass,3,prop_above_threshold,0
2018,Below Normal,Yolo Bypass,4,prop_above_threshold,0.25
2019,Wet,Sacramento River,3,prop_above_threshold,0
2019,Wet,Sacramento River,4,prop_above_threshold,0.0625
2019,Wet,Yolo Bypass,3,prop_above_threshold,0.1
2019,Wet,Yolo Bypass,4,prop_above_threshold,0.75
2020,NA,Sacramento River,3,prop_above_threshold,0
2020,NA,Yolo Bypass,3,prop_above_threshold,0
1995,Wet,Sacramento River,3,n,7
1995,Wet,Sacramento River,4,n,10
1995,Wet,Yolo Bypass,3,n,1
1996,Wet,Sacramento River,3,n,12
1996,Wet,Sacramento River,4,n,16
1996,Wet,Yolo Bypass,4,n,1
1997,Wet,Sacramento River,3,n,12
1997,Wet,Sacramento River,4,n,10
1997,Wet,Yolo Bypass,3,n,1
1997,Wet,Yolo Bypass,4,n,1
1998,Wet,Sacramento River,3,n,12
1998,Wet,Sacramento River,4,n,4
1999,Wet,Sacramento River,3,n,11
1999,Wet,Sacramento River,4,n,15
1999,Wet,Yolo Bypass,3,n,1
