water_year,water_year_type,region,month,prop_above_threshold,n,min_temp,max_temp,mean_temp,first_day_exceeded
1995,Wet,Sacramento River,3,0,7,9.86111211777,11.583333333333334,10.822738625443334,NA
1995,Wet,Sacramento River,4,0,10,11.2944455147,14.811111609133333,12.891557453064761,NA
1995,Wet,Yolo Bypass,3,0,1,12.6,12.6,12.6,NA
1996,Wet,Sacramento River,3,0,12,10.55,14.0277789831,12.307257025749307,NA
1996,Wet,Sacramento River,4,0,16,0,15.8888904572,12.930209138990625,NA
1996,Wet,Yolo Bypass,4,0,1,16.2,16.2,16.2,NA
1997,Wet,Sacramento River,3,0,12,9.66999998093,14.9499998093,11.8728570756575,NA
1997,Wet,Sacramento River,4,0.4,10,13.3999999046,18.61,16.538909046515,18
1997,Wet,Yolo Bypass,3,0,1,11.5,11.5,11.5,NA
1997,Wet,Yolo Bypass,4,1,1,18.2,18.2,18.2,29
1998,Wet,Sacramento River,3,0,12,10.25,13.8666664759,11.895882940755952,NA
1998,Wet,Sacramento River,4,0,4,11.9444443385,14.6900000572,12.6877777762,NA
1999,Wet,Sacramento River,3,0,11,8.73333337572,12.1750000715,10.505120285471515,NA
1999,Wet,Sacramento River,4,0,15,10.5500001907,15.95,13.464000053386666,NA
1999,Wet,Yolo Bypass,3,0,1,11.9,11.9,11.9,NA
1999,Wet,Yolo Bypass,4,0,2,14.2,14.5,14.35,NA
2000,Above Normal,Sacramento River,3,0,9,10.5,13.4,11.713333359474074,NA
2000,Above Normal,Sacramento River,4,0,7,0,16.5399999619,13.234183687752381,NA
2000,Above Normal,Yolo Bypass,3,0,2,10.8,13.2,12,NA
2000,Above Normal,Yolo Bypass,4,0,1,16.3,16.3,16.3,NA
2001,Dry,Sacramento River,3,0.4,10,0,17.05,11.134714320053,20
2001,Dry,Sacramento River,4,0.125,8,12.35,17.5,14.9525000095375,24
2001,Dry,Yolo Bypass,3,0.5,2,13.8,16.3,15.05,20
