water_year,region,date,mean_daily_temp,month,day
1995,Sacramento River,1994-10-03,19.65,10,3
1995,Sacramento River,1994-10-04,18.2833339691,10,4
1995,Sacramento River,1994-10-07,16.7944459915,10,7
1995,Sacramento River,1994-10-11,18.4291668415,10,11
1995,Sacramento River,1994-10-12,17.5333343506,10,12
1995,Sacramento River,1994-10-18,14.8555565834,10,18
1995,Sacramento River,1994-10-20,14.8333347321,10,20
1995,Sacramento River,1994-10-25,15.8544459343,10,25
1995,Sacramento River,1994-10-26,17.32,10,26
1995,Sacramento River,1994-10-27,16.0333352089,10,27
1995,Sacramento River,1994-11-01,14.5500009537,11,1
1995,Sacramento River,1994-11-03,12.6444452286,11,3
1995,Sacramento River,1994-11-04,11.9722229958,11,4
1995,Sacramento River,1994-11-07,11.4222231865,11,7
1995,Sacramento River,1994-11-11,10.9111121178,11,11
1995,Sacramento River,1994-11-13,11.0777786255,11,13
1995,Sacramento River,1994-11-15,11.359259382883334,11,15
1995,Sacramento River,1994-11-16,11,11,16
1995,Sacramento River,1994-11-17,10.49444561,11,17
1995,Sacramento River,1994-11-18,10.1388906479,11,18
1995,Sacramento River,1994-11-21,9.56666755676,11,21
1995,Sacramento River,1994-11-23,9.66111149788,11,23
1995,Sacramento River,1994-11-26,9.81111278534,11,26
1995,Sacramento River,1994-11-28,9.68333435059,11,28
1995,Sacramento River,1994-12-08,8.85000038147,12,8
1995,Sacramento River,1994-12-12,8.3,12,12
1995,Sacramento River,1994-12-13,7.2,12,13
1995,Sacramento River,1994-12-14,10,12,14
1995,Sacramento River,1994-12-22,8.84444465637,12,22
1995,Sacramento River,1994-12-23,8.8,12,23
1995,Sacramento River,1994-12-27,8.2222222805,12,27
1995,Sacramento River,1994-12-28,8.08888950348,12,28
1995,Sacramento River,1995-01-03,7.75925954183,1,3
1995,Sacramento River,1995-01-11,10.933333333333334,1,11
1995,Sacramento River,1995-01-12,10.6,1,12
1995,Sacramento River,1995-01-17,9.81111164093,1,17
1995,Sacramento River,1995-01-18,10.24,1,18
1995,Sacramento River,1995-01-20,9,1,20
1995,Sacramento River,1995-01-26,9.31944561005,1,26
1995,Sacramento River,1995-01-27,9.40972316265,1,27
1995,Sacramento River,1995-02-07,9.95833444595,2,7
1995,Sacramento River,1995-02-08,10.350000000000001,2,8
1995,Sacramento River,1995-02-09,10.8097224771975,2,9
1995,Sacramento River,1995-02-10,9.8492074694,2,10
1995,Sacramento River,1995-02-13,9.8,2,13
1995,Sacramento River,1995-02-14,9.36111211777,2,14
1995,Sacramento River,1995-02-16,9.22916734219,2,16
1995,Sacramento River,1995-02-17,8.76666755676,2,17
1995,Sacramento River,1995-02-21,10.444445014,2,21
1995,Sacramento River,1995-02-23,11.1111116409,2,23
1995,Sacramento River,1995-02-24,11.5444455147,2,24
1995,Sacramento River,1995-02-27,11.283334446,2,27
1995,Sacramento River,1995-03-06,11.05,3,6
1995,Sacramento River,1995-03-07,11.041111784,3,7
1995,Sacramento River,1995-03-13,11.583333333333334,3,13
1995,Sacramento River,1995-03-16,9.86111211777,3,16
1995,Sacramento River,1995-03-17,10.7444452286,3,17
1995,Sacramento River,1995-03-21,11.0347226858,3,21
1995,Sacramento River,1995-03-28,10.4444452286,3,28
1995,Sacramento River,1995-04-03,13.05,4,3
1995,Sacramento River,1995-04-04,14.0033337307,4,4
1995,Sacramento River,1995-04-06,13.4166674614,4,6
1995,Sacramento River,1995-04-07,13.1597229242,4,7
1995,Sacramento River,1995-04-10,12.557142952514285,4,10
1995,Sacramento River,1995-04-17,11.2944455147,4,17
1995,Sacramento River,1995-04-18,11.795370758899999,4,18
1995,Sacramento River,1995-04-21,11.561111927,4,21
1995,Sacramento River,1995-04-24,13.2666676521,4,24
1995,Sacramento River,1995-04-25,14.811111609133333,4,25
1995,Sacramento River,1995-05-01,13.75,5,1
1995,Sacramento River,1995-05-02,14.43,5,2
1995,Sacramento River,1995-05-03,13,5,3
1995,Sacramento River,1995-05-09,15.2,5,9
1995,Sacramento River,1995-05-24,16.10833358765,5,24
1995,Sacramento River,1995-05-30,16.8611125946,5,30
1995,Sacramento River,1995-05-31,17.0777791977,5,31
1995,Sacramento River,1995-06-06,17,6,6
1995,Sacramento River,1995-06-07,15.9000013351,6,7
1995,Sacramento River,1995-06-13,17.82,6,13
1995,Sacramento River,1995-06-14,17.05,6,14
1995,Sacramento River,1995-06-21,16.2388902664,6,21
1995,Sacramento River,1995-06-22,17.65,6,22
1995,Sacramento River,1995-06-28,18.0277788162,6,28
1995,Sacramento River,1995-07-04,19.44,7,4
1995,Sacramento River,1995-07-05,19,7,5
1995,Sacramento River,1995-07-10,20.6,7,10
1995,Sacramento River,1995-07-13,19.3,7,13
1995,Sacramento River,1995-07-24,20,7,24
1995,Sacramento River,1995-08-01,22.66,8,1
1995,Sacramento River,1995-08-18,19.7388898849,8,18
1995,Sacramento River,1995-08-21,21.19722385405,8,21
1995,Sacramento River,1995-08-23,20.8500024796,8,23
1995,Sacramento River,1995-08-25,19.8222234726,8,25
1995,Sacramento River,1995-08-28,19.0777791977,8,28
1995,Sacramento River,1995-08-29,20.05,8,29
1995,Sacramento River,1995-08-30,19.6666683197,8,30
1995,Sacramento River,1995-09-01,19.8166687012,9,1
1995,Sacramento River,1995-09-05,19.9,9,5
1995,Sacramento River,1995-09-11,19.005557251,9,11
1995,Sacramento River,1995-09-13,19.32857142857143,9,13
1995,Sacramento River,1995-09-14,18.864815203333333,9,14
1995,Sacramento River,1995-09-15,18.9222238541,9,15
1995,Sacramento River,1995-09-18,18.74444561,9,18
1995,Sacramento River,1995-09-20,19.3722236633,9,20
1995,Yolo Bypass,1994-11-15,10.6,11,15
1995,Yolo Bypass,1995-01-11,11.1,1,11
1995,Yolo Bypass,1995-03-13,12.6,3,13
1995,Yolo Bypass,1995-05-09,16,5,9
1995,Yolo Bypass,1995-06-22,18.4,6,22
1995,Yolo Bypass,1995-07-24,19.4,7,24
1995,Yolo Bypass,1995-08-08,23.4,8,8
1995,Yolo Bypass,1995-09-13,19.8,9,13
1996,Sacramento River,1995-10-02,18.05,10,2
1996,Sacramento River,1995-10-06,16.1111125946,10,6
1996,Sacramento River,1995-10-11,16.7277791977,10,11
1996,Sacramento River,1995-10-16,16.4722232819,10,16
1996,Sacramento River,1995-10-17,17.366666666666667,10,17
1996,Sacramento River,1995-10-18,17.26444473266,10,18
1996,Sacramento River,1995-10-20,15.9444455041,10,20
1996,Sacramento River,1995-10-27,15.0222230911,10,27
1996,Sacramento River,1995-11-03,15.0000009537,11,3
1996,Sacramento River,1995-11-06,15.05,11,6
1996,Sacramento River,1995-11-07,14.0000013351,11,7
1996,Sacramento River,1995-11-09,14.05555620195,11,9
1996,Sacramento River,1995-11-13,14.3388902664,11,13
1996,Sacramento River,1995-11-14,14.666666666666666,11,14
1996,Sacramento River,1995-11-16,14.753704039266667,11,16
1996,Sacramento River,1995-11-20,14.7222232819,11,20
1996,Sacramento River,1995-11-22,14.0166685104,11,22
1996,Sacramento River,1995-11-27,12.6666675568,11,27
1996,Sacramento River,1995-11-29,12.227779007,11,29
1996,Sacramento River,1995-12-01,12.4166676521,12,1
1996,Sacramento River,1995-12-03,12.4166676521,12,3
1996,Sacramento River,1995-12-04,12.8,12,4
1996,Sacramento River,1995-12-05,12.6666675568,12,5
1996,Sacramento River,1995-12-06,14.7500004768,12,6
1996,Sacramento River,1995-12-08,13.8888902664,12,8
1996,Sacramento River,1995-12-10,13.3333339691,12,10
1996,Sacramento River,1995-12-11,12.9,12,11
1996,Sacramento River,1995-12-15,12.2222232819,12,15
1996,Sacramento River,1995-12-17,11.1111116409,12,17
1996,Sacramento River,1995-12-19,11.0027780056,12,19
1996,Sacramento River,1995-12-20,10.666667366,12,20
1996,Sacramento River,1995-12-22,10.5555562973,12,22
1996,Sacramento River,1995-12-26,10.2777786255,12,26
1996,Sacramento River,1995-12-28,10.0000009537,12,28
1996,Sacramento River,1995-12-30,10.6944451332,12,30
1996,Sacramento River,1996-01-02,10.9166672707,1,2
1996,Sacramento River,1996-01-03,10.45,1,3
1996,Sacramento River,1996-01-04,11.1000004768,1,4
1996,Sacramento River,1996-01-08,11.1111116409,1,8
1996,Sacramento River,1996-01-09,10.515873091557143,1,9
1996,Sacramento River,1996-01-10,10.6296298345,1,10
1996,Sacramento River,1996-01-11,10.7,1,11
1996,Sacramento River,1996-01-16,10.0000009537,1,16
1996,Sacramento River,1996-01-17,10.0000009537,1,17
1996,Sacramento River,1996-01-18,10.27777814865,1,18
1996,Sacramento River,1996-01-19,10.4444452286,1,19
1996,Sacramento River,1996-01-22,8.83333382607,1,22
1996,Sacramento River,1996-02-02,9.88888994853,2,2
1996,Sacramento River,1996-02-05,11.299588846266667,2,5
1996,Sacramento River,1996-02-06,12.088333969099999,2,6
1996,Sacramento River,1996-02-07,11.3194452524,2,7
1996,Sacramento River,1996-02-08,11.701390028,2,8
1996,Sacramento River,1996-02-09,11.772222805,2,9
1996,Sacramento River,1996-02-13,12.2916676998,2,13
1996,Sacramento River,1996-02-15,12.13703721365,2,15
1996,Sacramento River,1996-02-16,12.5000009537,2,16
1996,Sacramento River,1996-02-20,12.2222232819,2,20
1996,Sacramento River,1996-02-21,11.5972234011,2,21
1996,Sacramento River,1996-02-22,10.972222805,2,22
1996,Sacramento River,1996-02-23,10.6250007153,2,23
1996,Sacramento River,1996-02-27,9.72222328186,2,27
1996,Sacramento River,1996-03-04,10.55,3,4
1996,Sacramento River,1996-03-06,10.862143197750001,3,6
1996,Sacramento River,1996-03-07,11.736112237,3,7
1996,Sacramento River,1996-03-08,11.618981651466667,3,8
1996,Sacramento River,1996-03-11,12.1309529032,3,11
1996,Sacramento River,1996-03-12,11.830555820475,3,12
1996,Sacramento River,1996-03-14,12.5000009537,3,14
1996,Sacramento River,1996-03-15,13.1250008345,3,15
1996,Sacramento River,1996-03-22,14.0277789831,3,22
1996,Sacramento River,1996-03-27,13.1944451332,3,27
1996,Sacramento River,1996-03-28,13.1944451332,3,28
1996,Sacramento River,1996-03-29,12.9166674614,3,29
1996,Sacramento River,1996-04-01,13.149999999999999,4,1
1996,Sacramento River,1996-04-04,0,4,4
1996,Sacramento River,1996-04-06,14.5555566788,4,6
1996,Sacramento River,1996-04-11,14.92222275735,4,11
1996,Sacramento River,1996-04-12,13.8888898849,4,12
1996,Sacramento River,1996-04-13,13.4444453239,4,13
1996,Sacramento River,1996-04-14,13.6666676521,4,14
1996,Sacramento River,1996-04-16,13.1111118317,4,16
1996,Sacramento River,1996-04-18,12.0000009537,4,18
1996,Sacramento River,1996-04-20,11.2777786255,4,20
1996,Sacramento River,1996-04-22,12.4444454193,4,22
1996,Sacramento River,1996-04-24,13.4444452286,4,24
1996,Sacramento River,1996-04-25,15.2,4,25
1996,Sacramento River,1996-04-26,14.9444457054,4,26
1996,Sacramento River,1996-04-28,14.9444457054,4,28
1996,Sacramento River,1996-04-30,15.8888904572,4,30
1996,Sacramento River,1996-05-02,16.777779007,5,2
1996,Sacramento River,1996-05-04,15.6111125946,5,4
1996,Sacramento River,1996-05-06,16.2745112251,5,6
1996,Sacramento River,1996-05-07,16,5,7
1996,Sacramento River,1996-05-08,14.8888901711,5,8
1996,Sacramento River,1996-05-10,16.933334064500002,5,10
1996,Sacramento River,1996-05-12,17.9444452286,5,12
1996,Sacramento River,1996-05-14,18.7222238541,5,14
1996,Sacramento River,1996-05-15,0,5,15
1996,Sacramento River,1996-05-16,16.6666679382,5,16
1996,Sacramento River,1996-05-20,13.3888897896,5,20
1996,Sacramento River,1996-05-22,14.38333387375,5,22
1996,Sacramento River,1996-05-24,13.8888900757,5,24
1996,Sacramento River,1996-05-28,16.166668129,5,28
1996,Sacramento River,1996-05-30,16.3333347321,5,30
1996,Sacramento River,1996-06-04,18.7222236633,6,4
1996,Sacramento River,1996-06-09,21.2,6,9
1996,Sacramento River,1996-06-11,19.333335495,6,11
1996,Sacramento River,1996-06-12,20.549999999999997,6,12
1996,Sacramento River,1996-06-15,19.333335495,6,15
1996,Sacramento River,1996-06-25,19.9666677475,6,25
1996,Sacramento River,1996-06-27,17.8888896942,6,27
1996,Sacramento River,1996-06-29,19.0000022888,6,29
1996,Sacramento River,1996-07-01,20.6111127853,7,1
1996,Sacramento River,1996-07-08,20.1666685104,7,8
1996,Sacramento River,1996-07-09,22.95,7,9
1996,Sacramento River,1996-07-10,21.166668129,7,10
1996,Sacramento River,1996-07-11,21.700000000000003,7,11
1996,Sacramento River,1996-07-15,20.7222238541,7,15
1996,Sacramento River,1996-07-17,20.2222240448,7,17
1996,Sacramento River,1996-07-19,21,7,19
1996,Sacramento River,1996-07-23,22.785,7,23
1996,Sacramento River,1996-07-24,20.6666683197,7,24
1996,Sacramento River,1996-07-31,22.1666677475,7,31
1996,Sacramento River,1996-08-07,19.8499999046,8,7
1996,Sacramento River,1996-08-12,22.3666668574,8,12
1996,Sacramento River,1996-08-13,22.45,8,13
1996,Sacramento River,1996-08-14,22.799999999999997,8,14
1996,Sacramento River,1996-08-16,20.9800004959,8,16
1996,Sacramento River,1996-08-19,19.1999996185,8,19
1996,Sacramento River,1996-08-23,19.8199998856,8,23
1996,Sacramento River,1996-08-28,19.7099998474,8,28
1996,Sacramento River,1996-09-03,19.6499998093,9,3
1996,Sacramento River,1996-09-04,19.40666656493333,9,4
1996,Sacramento River,1996-09-06,19.0499996185,9,6
1996,Sacramento River,1996-09-09,20.5049999555,9,9
1996,Sacramento River,1996-09-11,19.57022214592,9,11
1996,Sacramento River,1996-09-13,0,9,13
1996,Sacramento River,1996-09-16,17.7999992371,9,16
1996,Sacramento River,1996-09-17,18,9,17
1996,Sacramento River,1996-09-18,17.7399993896,9,18
1996,Sacramento River,1996-09-20,17.8999992371,9,20
1996,Sacramento River,1996-09-23,19.0499996185,9,23
1996,Sacramento River,1996-09-25,18.8399995804,9,25
1996,Sacramento River,1996-09-27,18.5599994659,9,27
1996,Sacramento River,1996-09-30,19.133333206166668,9,30
1996,Yolo Bypass,1995-11-14,15,11,14
1996,Yolo Bypass,1996-02-15,14.7,2,15
1996,Yolo Bypass,1996-04-25,16.2,4,25
1996,Yolo Bypass,1996-05-10,17.9,5,10
1996,Yolo Bypass,1996-06-09,21.5,6,9
1996,Yolo Bypass,1996-06-25,19.7,6,25
1996,Yolo Bypass,1996-08-12,23.2,8,12
1997,Sacramento River,1996-10-08,18.8999996185,10,8
1997,Sacramento River,1996-10-11,19.65,10,11
1997,Sacramento River,1996-10-16,17.398333396916666,10,16
1997,Sacramento River,1996-10-18,14.5199996948,10,18
1997,Sacramento River,1996-10-20,13.3000001907,10,20
1997,Sacramento River,1996-10-24,13.3000001907,10,24
1997,Sacramento River,1996-10-25,13.7099998474,10,25
1997,Sacramento River,1996-10-27,13.0000001907,10,27
1997,Sacramento River,1996-10-29,13.3000001907,10,29
1997,Sacramento River,1996-10-31,13.3000001907,10,31
1997,Sacramento River,1996-11-01,13.8999996185,11,1
1997,Sacramento River,1996-11-04,12.95,11,4
1997,Sacramento River,1996-11-07,14.1999996185,11,7
1997,Sacramento River,1996-11-08,14.3999996185,11,8
1997,Sacramento River,1996-11-10,14.3999996185,11,10
1997,Sacramento River,1996-11-12,13.51666673025,11,12
1997,Sacramento River,1996-11-13,14.036666793833334,11,13
1997,Sacramento River,1996-11-14,9.75,11,14
1997,Sacramento River,1996-11-15,13.5999999046,11,15
1997,Sacramento River,1996-11-17,12.8000001907,11,17
1997,Sacramento River,1996-11-19,13.8999996185,11,19
1997,Sacramento River,1996-11-20,13.9999996185,11,20
1997,Sacramento River,1996-11-23,14.3999996185,11,23
1997,Sacramento River,1996-12-02,10.75,12,2
1997,Sacramento River,1996-12-04,0,12,4
1997,Sacramento River,1996-12-05,11.1000003815,12,5
1997,Sacramento River,1996-12-09,11.1000003815,12,9
1997,Sacramento River,1996-12-10,11.5199999809,12,10
1997,Sacramento River,1996-12-16,10.9,12,16
1997,Sacramento River,1996-12-19,9.7,12,19
1997,Sacramento River,1996-12-20,9.65714263916,12,20
1997,Sacramento River,1996-12-23,9.63999977112,12,23
1997,Sacramento River,1997-01-21,9.39999961853,1,21
1997,Sacramento River,1997-01-24,8.82499969006,1,24
1997,Sacramento River,1997-01-27,11,1,27
1997,Sacramento River,1997-01-28,11.07,1,28
1997,Sacramento River,1997-02-06,9.93999996185,2,6
1997,Sacramento River,1997-02-07,10,2,7
1997,Sacramento River,1997-02-10,9.834285708835715,2,10
1997,Sacramento River,1997-02-11,9.350000000000001,2,11
1997,Sacramento River,1997-02-13,9.04999961853,2,13
1997,Sacramento River,1997-02-14,9.24999961853,2,14
1997,Sacramento River,1997-02-18,10,2,18
1997,Sacramento River,1997-02-20,10.3666667938,2,20
1997,Sacramento River,1997-02-21,10.5000000954,2,21
1997,Sacramento River,1997-02-24,10.0300000191,2,24
1997,Sacramento River,1997-02-26,10.58,2,26
1997,Sacramento River,1997-03-03,10.05,3,3
1997,Sacramento River,1997-03-04,9.66999998093,3,4
1997,Sacramento River,1997-03-06,10.503333218893333,3,6
1997,Sacramento River,1997-03-07,10.2199998856,3,7
1997,Sacramento River,1997-03-10,11.5400001526,3,10
1997,Sacramento River,1997-03-12,12.016666666666666,3,12
1997,Sacramento River,1997-03-13,11.9499998093,3,13
1997,Sacramento River,1997-03-14,12.0142856325,3,14
1997,Sacramento River,1997-03-17,11.8599999428,3,17
1997,Sacramento River,1997-03-21,13.4599998474,3,21
